alias,categories,id,id_closed,name,rating,review_count
thai-villa-new-york-2,thai,B3_K2kUVbYOU0VaLcj_LTw,False,Thai Villa,4.5,2649
lovemama-new-york,thai,jjJc_CrkB2HodEinB6cWww,False,LoveMama,4.0,4290
up-thai-new-york,thai,-OixbLnFLCzQclxCSbUQ8w,False,Up Thai,4.5,2039
thai-holic-fort-greene,thai,9WgsvzaiXNAmmQGD0uQxFQ,False,Thai Holic,4.5,375
wok-wok-new-york,thai,0GftSP2dRwEzujkv2VKIgA,False,Wok Wok,4.0,793
top-thai-greenwich-new-york,thai,wGFSTTB6b4MHJJUzBnVJeg,False,Top Thai Greenwich,4.5,1144
pure-thai-cookhouse-new-york,thai,MhceeLrM2_3mcKw5EGLY6A,False,Pure Thai Cookhouse,4.0,2404
kind-fresh-meadows,thai,cegA4jf16vEt7NCQ7cpu2w,False,Kin'd,4.5,474
thai-market-new-york,thai,p2zm0HnXZkI2yCAuYLb45g,False,Thai Market,4.0,953
land-new-york,thai,83BXSwE0166sObnXLUE4bQ,False,Land,4.0,1027
pinto-restaurant-brooklyn-heights-2,thai,RrPIJvmje1qb9iaYd6jH0g,False,Pinto Restaurant,4.0,206
somtum-der-new-york,thai,qrydcGQpeDP_1oFvx3qOeg,False,Somtum Der,4.0,668
williamsburg-thai-cuisine-brooklyn,thai,liGIz8CzhyS1udx1aefjng,False,Williamsburg Thai Cuisine,4.0,195
sripraphai-thai-restaurant-woodside,thai,0L03onqNwxWLrbb_FCK79A,False,SriPraPhai Thai Restaurant,4.0,2252
thep-thai-restaurant-new-york-5,thai,O1fUmxt3kbV-rnyjBtzAfw,False,THEP Thai Restaurant,4.5,478
thailicious-les-new-york-2,thai,dqjko5ndMGayALuhwq3ghQ,False,Thailicious LES,5.0,20
copper-throat-thai-cuisine-new-york,thai,Nvhx093-K2xwHIZVnFstJw,False,Copper Throat Thai Cuisine,4.0,78
ugly-baby-brooklyn-3,thai,e64Y17DJgjotSz8B9gEI7Q,False,Ugly Baby,4.5,258
thailicious-new-york,thai,kpR9je2H9MjKz6zpesyV6g,False,Thailicious,4.0,265
kor-tor-mor-brooklyn,thai,5ZjNZd3Yg0jOkJ9WRx1r6g,False,Kor Tor Mor,4.0,210
the-greek-new-york,greek,6gDUVNZo0E9lxO2DkAhHOQ,False,The Greek,4.5,468
kikis-new-york,greek,_4Grm99JEHnDWskCHAJfUg,False,Kiki's,4.0,541
souvlaki-gr-new-york-3,greek,gG0pitVnSaUMGbEL3boF0g,False,Souvlaki GR,4.0,839
pylos-new-york,greek,7xV4gzrgaOgQYtPC3FBZig,False,Pylos,4.5,1093
taverna-kyclades-east-village-new-york-2,greek,apykLG7DTZ-7xnOcZGDZZA,False,Taverna Kyclades - East Village,4.0,773
taverna-kyclades-astoria,greek,JEQ00qBAepe0oSiUBdfIew,False,Taverna Kyclades,4.0,2155
ela-taverna-brooklyn,greek,Rn3Lf7BLoMHul0dEiNtT5Q,False,Ela Taverna,4.0,100
avlee-greek-kitchen-brooklyn-3,greek,-fcbr1p0Uijjg3WpDDn5VA,False,Avlee Greek Kitchen,4.5,241
loukoumi-taverna-astoria-2,greek,wPx4aNffBizdYmCG-WLKpQ,False,Loukoumi Taverna,4.5,411
